Date,Open,High,Low,Close,Adj Close,Volume
2015-05-13,5673.100098,5712.799805,5668.299805,5710.799805,5710.799805,837790300
2015-05-14,5715.100098,5715.100098,5663.500000,5696.600098,5696.600098,0
2015-05-15,5692.500000,5741.399902,5692.500000,5730.000000,5730.000000,731778500
2015-05-18,5730.000000,5731.200195,5660.000000,5660.000000,5660.000000,610399700
2015-05-19,5659.799805,5673.100098,5615.500000,5619.399902,5619.399902,756978700
2015-05-20,5619.399902,5627.700195,5580.399902,5614.000000,5614.000000,745436800
2015-05-21,5614.000000,5667.299805,5614.000000,5663.600098,5663.600098,908917000
2015-05-22,5663.600098,5693.100098,5658.600098,5668.200195,5668.200195,613212100
2015-05-25,5668.200195,5731.899902,5668.200195,5719.899902,5719.899902,555328300
2015-05-26,5719.899902,5771.500000,5719.899902,5770.399902,5770.399902,617059800
2015-05-27,5770.399902,5770.399902,5715.100098,5724.200195,5724.200195,792431500
2015-05-28,5724.200195,5744.600098,5694.700195,5714.600098,5714.600098,675797200
2015-05-29,5714.600098,5798.799805,5714.600098,5774.899902,5774.899902,1590725600
2015-06-01,5774.899902,5774.899902,5685.600098,5734.000000,5734.000000,604756700
2015-06-02,5734.000000,5752.299805,5639.899902,5639.899902,5639.899902,723850200
2015-06-03,5639.899902,5643.799805,5581.000000,5588.299805,5588.299805,756800800
2015-06-04,5588.299805,5606.600098,5511.299805,5511.299805,5511.299805,813761800
2015-06-05,5511.299805,5535.399902,5479.700195,5506.500000,5506.500000,669089500
2015-06-09,5506.500000,5529.700195,5476.500000,5479.700195,5479.700195,740020700
2015-06-10,5479.700195,5492.600098,5463.000000,5486.000000,5486.000000,709764300
2015-06-11,5486.000000,5562.600098,5486.000000,5562.600098,5562.600098,721529000
2015-06-12,5562.600098,5562.600098,5536.399902,5552.100098,5552.100098,636019200
2015-06-15,5552.100098,5552.100098,5501.700195,5541.500000,5541.500000,675127400
2015-06-16,5541.500000,5573.500000,5530.700195,5535.200195,5535.200195,747589400
2015-06-17,5535.200195,5602.200195,5535.200195,5590.299805,5590.299805,801959000
2015-06-18,5590.299805,5590.299805,5501.899902,5522.700195,5522.700195,1102201200
2015-06-19,5522.700195,5606.100098,5522.700195,5591.500000,5591.500000,1419479800
2015-06-22,5591.500000,5606.500000,5564.399902,5603.100098,5603.100098,721602700
2015-06-23,5603.100098,5679.600098,5603.100098,5671.399902,5671.399902,822018400
2015-06-24,5671.399902,5690.200195,5666.600098,5672.700195,5672.700195,752180600
2015-06-25,5672.700195,5672.700195,5619.899902,5619.899902,5619.899902,868898800
